,drug_a_name,drug_b_name,cell_line,synergy,fold
5-FU_BEZ-235_RKO,5-FU,BEZ-235,RKO,16.9360013477,1
5-FU_BEZ-235_RPMI7951,5-FU,BEZ-235,RPMI7951,12.7059498499,1
5-FU_BEZ-235_SKMEL30,5-FU,BEZ-235,SKMEL30,-73.1384016545,1
5-FU_BEZ-235_SKMES1,5-FU,BEZ-235,SKMES1,21.2679035017,1
5-FU_BEZ-235_SKOV3,5-FU,BEZ-235,SKOV3,4.2458790789,1
5-FU_BEZ-235_SW620,5-FU,BEZ-235,SW620,12.0285902424,1
5-FU_BEZ-235_SW837,5-FU,BEZ-235,SW837,5.5145107479,1
5-FU_BEZ-235_T47D,5-FU,BEZ-235,T47D,106.0071923778,1
5-FU_BEZ-235_UACC62,5-FU,BEZ-235,UACC62,7.9318775251,1
5-FU_BEZ-235_UWB1289BRCA1,5-FU,BEZ-235,UWB1289BRCA1,18.8650385873,1
5-FU_BEZ-235_UWB1289,5-FU,BEZ-235,UWB1289,17.0637803344,1
5-FU_BEZ-235_VCAP,5-FU,BEZ-235,VCAP,11.7574248227,1
5-FU_BEZ-235_ZR751,5-FU,BEZ-235,ZR751,7.0759828056,1
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,A2058,-5.2398784479,2
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,A2780,-18.599126219,2
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,A375,-2.4053347825,2
5-FU_BORTEZOMIB_A427,5-FU,BORTEZOMIB,A427,-7.8767081501,2
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,CAOV3,-35.2730418424,2
5-FU_BORTEZOMIB_COLO320DM,5-FU,BORTEZOMIB,COLO320DM,-10.9704461582,2
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,DLD1,5.2284767557,2
5-FU_BORTEZOMIB_EFM192B,5-FU,BORTEZOMIB,EFM192B,-8.3561110301,2
5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,ES2,-16.1301253292,2
5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,HCT116,-4.5192694496,2
5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,HT144,-14.5697825802,2
5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,HT29,-15.9516134706,2
5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,KPL1,-2.9975327263,2
5-FU_BORTEZOMIB_LNCAP,5-FU,BORTEZOMIB,LNCAP,-1.8552324806,2
5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,LOVO,-6.1759820093,2
5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,MDAMB436,-2.0255657606,2
5-FU_BORTEZOMIB_MSTO,5-FU,BORTEZOMIB,MSTO,52.4851897233,2
5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,NCIH1650,-15.7787056902,2
5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,NCIH2122,-16.6962656751,2
5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,NCIH23,-9.1909645858,2
5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,NCIH460,-18.9981302614,2
5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,NCIH520,-24.0675509099,2
5-FU_BORTEZOMIB_OCUBM,5-FU,BORTEZOMIB,OCUBM,-7.5086248389,2
5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,OV90,-9.5861668687,2
5-FU_BORTEZOMIB_OVCAR3,5-FU,BORTEZOMIB,OVCAR3,-9.8950364655,2
5-FU_BORTEZOMIB_PA1,5-FU,BORTEZOMIB,PA1,-20.7061680779,2
5-FU_BORTEZOMIB_RKO,5-FU,BORTEZOMIB,RKO,2.9072006684,2
5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,RPMI7951,-10.4794143941,2
5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,SKMEL30,-172.8887020908,2
5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,SKMES1,-11.6427298467,2
5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,SKOV3,-4.6048936233,2
5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,SW620,-1.9079668183,2
5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,SW837,-1.3618595002,2
5-FU_BORTEZOMIB_T47D,5-FU,BORTEZOMIB,T47D,2.7487911814,2
5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,UACC62,-17.8418510777,2
5-FU_BORTEZOMIB_UWB1289BRCA1,5-FU,BORTEZOMIB,UWB1289BRCA1,-2.8197803553,2
5-FU_BORTEZOMIB_UWB1289,5-FU,BORTEZOMIB,UWB1289,-15.0307501791,2
5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,VCAP,-7.0535106309,2
5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,ZR751,-17.4513752727,2
5-FU_DASATINIB_A2058,5-FU,DASATINIB,A2058,31.1256441825,1
5-FU_DASATINIB_A2780,5-FU,DASATINIB,A2780,50.6036602621,1
5-FU_DASATINIB_A375,5-FU,DASATINIB,A375,2.6836891586,1
5-FU_DASATINIB_A427,5-FU,DASATINIB,A427,28.3480845129,1
5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,CAOV3,17.8798317329,1
5-FU_DASATINIB_COLO320DM,5-FU,DASATINIB,COLO320DM,6.4670310089,1
5-FU_DASATINIB_DLD1,5-FU,DASATINIB,DLD1,21.4330908809,1
5-FU_DASATINIB_EFM192B,5-FU,DASATINIB,EFM192B,3.8423834056,1
5-FU_DASATINIB_ES2,5-FU,DASATINIB,ES2,17.6901953531,1
5-FU_DASATINIB_HCT116,5-FU,DASATINIB,HCT116,-7.8192717861,1
5-FU_DASATINIB_HT144,5-FU,DASATINIB,HT144,-22.9732781184,1
5-FU_DASATINIB_HT29,5-FU,DASATINIB,HT29,17.0669807634,1
5-FU_DASATINIB_KPL1,5-FU,DASATINIB,KPL1,3.4468119113,1
5-FU_DASATINIB_LNCAP,5-FU,DASATINIB,LNCAP,0.2425073658,1
5-FU_DASATINIB_LOVO,5-FU,DASATINIB,LOVO,21.3855881893,1
5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,MDAMB436,18.7186968772,1
5-FU_DASATINIB_MSTO,5-FU,DASATINIB,MSTO,17.562990649,1
5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,NCIH1650,23.2349707101,1
5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,NCIH2122,-31.1947195955,1
5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,NCIH23,11.5591467519,1
5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,NCIH460,21.6687261012,1
5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,NCIH520,42.7350514418,1
5-FU_DASATINIB_OCUBM,5-FU,DASATINIB,OCUBM,-6.0435035517,1
5-FU_DASATINIB_OV90,5-FU,DASATINIB,OV90,0.4330347743,1
5-FU_DASATINIB_OVCAR3,5-FU,DASATINIB,OVCAR3,57.0331471062,1
5-FU_DASATINIB_PA1,5-FU,DASATINIB,PA1,33.9082835151,1
5-FU_DASATINIB_RKO,5-FU,DASATINIB,RKO,17.3116328276,1
5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,RPMI7951,19.0635510285,1
5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,SKMEL30,-4.6186948142,1
5-FU_DASATINIB_SKMES1,5-FU,DASATINIB,SKMES1,2.9818204918,1
5-FU_DASATINIB_SKOV3,5-FU,DASATINIB,SKOV3,1.3046560675,1
5-FU_DASATINIB_SW620,5-FU,DASATINIB,SW620,30.4446308353,1
5-FU_DASATINIB_SW837,5-FU,DASATINIB,SW837,15.8773368915,1
5-FU_DASATINIB_T47D,5-FU,DASATINIB,T47D,18.8656014132,1
5-FU_DASATINIB_UACC62,5-FU,DASATINIB,UACC62,12.1239603389,1
5-FU_DASATINIB_UWB1289BRCA1,5-FU,DASATINIB,UWB1289BRCA1,7.6733601203,1
5-FU_DASATINIB_UWB1289,5-FU,DASATINIB,UWB1289,3.7658996853,1
5-FU_DASATINIB_VCAP,5-FU,DASATINIB,VCAP,21.455726442,1
5-FU_DASATINIB_ZR751,5-FU,DASATINIB,ZR751,5.1142794332,1
5-FU_DINACICLIB_A2058,5-FU,DINACICLIB,A2058,4.3316952071,0
5-FU_DINACICLIB_A2780,5-FU,DINACICLIB,A2780,-8.1611286386,0
5-FU_DINACICLIB_A375,5-FU,DINACICLIB,A375,-5.4159342011,0
5-FU_DINACICLIB_A427,5-FU,DINACICLIB,A427,-7.7474736816,0
5-FU_DINACICLIB_CAOV3,5-FU,DINACICLIB,CAOV3,-14.3474258909,0
5-FU_DINACICLIB_COLO320DM,5-FU,DINACICLIB,COLO320DM,4.8075500511,0
5-FU_DINACICLIB_DLD1,5-FU,DINACICLIB,DLD1,-3.6412672658,0
5-FU_DINACICLIB_EFM192B,5-FU,DINACICLIB,EFM192B,0.3121068316,0
5-FU_DINACICLIB_ES2,5-FU,DINACICLIB,ES2,3.4071845582,0
5-FU_DINACICLIB_HCT116,5-FU,DINACICLIB,HCT116,2.9189014698,0
5-FU_DINACICLIB_HT144,5-FU,DINACICLIB,HT144,-3.4774222173,0
5-FU_DINACICLIB_HT29,5-FU,DINACICLIB,HT29,-2.5394087442,0
5-FU_DINACICLIB_KPL1,5-FU,DINACICLIB,KPL1,0.007355464,0
5-FU_DINACICLIB_LNCAP,5-FU,DINACICLIB,LNCAP,-0.8480444662,0
5-FU_DINACICLIB_LOVO,5-FU,DINACICLIB,LOVO,-11.8769599262,0
5-FU_DINACICLIB_MDAMB436,5-FU,DINACICLIB,MDAMB436,5.3475341198,0
5-FU_DINACICLIB_MSTO,5-FU,DINACICLIB,MSTO,1.1104282837,0
5-FU_DINACICLIB_NCIH1650,5-FU,DINACICLIB,NCIH1650,-2.1132235055,0
5-FU_DINACICLIB_NCIH2122,5-FU,DINACICLIB,NCIH2122,1.2187131729,0
5-FU_DINACICLIB_NCIH23,5-FU,DINACICLIB,NCIH23,-9.5337022995,0
5-FU_DINACICLIB_NCIH460,5-FU,DINACICLIB,NCIH460,-7.4209805584,0
5-FU_DINACICLIB_NCIH520,5-FU,DINACICLIB,NCIH520,-4.3210485458,0
5-FU_DINACICLIB_OCUBM,5-FU,DINACICLIB,OCUBM,6.7850540323,0
5-FU_DINACICLIB_OV90,5-FU,DINACICLIB,OV90,-5.9355790617,0
5-FU_DINACICLIB_OVCAR3,5-FU,DINACICLIB,OVCAR3,2.7064693261,0
5-FU_DINACICLIB_PA1,5-FU,DINACICLIB,PA1,-5.7328651442,0
5-FU_DINACICLIB_RKO,5-FU,DINACICLIB,RKO,5.6238194396,0
5-FU_DINACICLIB_RPMI7951,5-FU,DINACICLIB,RPMI7951,-5.6869902395,0
5-FU_DINACICLIB_SKMEL30,5-FU,DINACICLIB,SKMEL30,-96.6171400256,0
5-FU_DINACICLIB_SKMES1,5-FU,DINACICLIB,SKMES1,-3.1403413007,0
5-FU_DINACICLIB_SKOV3,5-FU,DINACICLIB,SKOV3,-13.8991015225,0
5-FU_DINACICLIB_SW620,5-FU,DINACICLIB,SW620,-4.5680713977,0
5-FU_DINACICLIB_SW837,5-FU,DINACICLIB,SW837,-19.5733229304,0
5-FU_DINACICLIB_T47D,5-FU,DINACICLIB,T47D,-2.721986339,0
5-FU_DINACICLIB_UACC62,5-FU,DINACICLIB,UACC62,3.6825732484,0
5-FU_DINACICLIB_UWB1289BRCA1,5-FU,DINACICLIB,UWB1289BRCA1,3.0417152864,0
5-FU_DINACICLIB_UWB1289,5-FU,DINACICLIB,UWB1289,-0.2331905921,0
5-FU_DINACICLIB_VCAP,5-FU,DINACICLIB,VCAP,14.4219939992,0
5-FU_DINACICLIB_ZR751,5-FU,DINACICLIB,ZR751,-13.5823901433,0
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,A2058,9.6942857549,3
5-FU_ERLOTINIB_A2780,5-FU,ERLOTINIB,A2780,16.5693311017,3
5-FU_ERLOTINIB_A375,5-FU,ERLOTINIB,A375,13.9643924282,3
5-FU_ERLOTINIB_A427,5-FU,ERLOTINIB,A427,18.4292581557,3
5-FU_ERLOTINIB_CAOV3,5-FU,ERLOTINIB,CAOV3,-7.9516351685,3
5-FU_ERLOTINIB_COLO320DM,5-FU,ERLOTINIB,COLO320DM,22.1679734087,3
5-FU_ERLOTINIB_DLD1,5-FU,ERLOTINIB,DLD1,10.181271291,3
5-FU_ERLOTINIB_EFM192B,5-FU,ERLOTINIB,EFM192B,10.5434563577,3
5-FU_ERLOTINIB_ES2,5-FU,ERLOTINIB,ES2,15.1231624969,3
5-FU_ERLOTINIB_HCT116,5-FU,ERLOTINIB,HCT116,14.4529779349,3
5-FU_ERLOTINIB_HT144,5-FU,ERLOTINIB,HT144,9.5594532711,3
5-FU_ERLOTINIB_HT29,5-FU,ERLOTINIB,HT29,11.3374716212,3
5-FU_ERLOTINIB_KPL1,5-FU,ERLOTINIB,KPL1,-3.0152734579,3
5-FU_ERLOTINIB_LNCAP,5-FU,ERLOTINIB,LNCAP,-6.9843951948,3
5-FU_ERLOTINIB_LOVO,5-FU,ERLOTINIB,LOVO,12.4173316831,3
5-FU_ERLOTINIB_MDAMB436,5-FU,ERLOTINIB,MDAMB436,16.1498978974,3
5-FU_ERLOTINIB_MSTO,5-FU,ERLOTINIB,MSTO,-45.8937606585,3
5-FU_ERLOTINIB_NCIH1650,5-FU,ERLOTINIB,NCIH1650,0.9247862496,3
5-FU_ERLOTINIB_NCIH2122,5-FU,ERLOTINIB,NCIH2122,24.4549768299,3
5-FU_ERLOTINIB_NCIH23,5-FU,ERLOTINIB,NCIH23,6.3734101396,3
5-FU_ERLOTINIB_NCIH460,5-FU,ERLOTINIB,NCIH460,17.2248469758,3
5-FU_ERLOTINIB_NCIH520,5-FU,ERLOTINIB,NCIH520,7.2357581991,3
5-FU_ERLOTINIB_OCUBM,5-FU,ERLOTINIB,OCUBM,28.1444385648,3
5-FU_ERLOTINIB_OV90,5-FU,ERLOTINIB,OV90,-11.0400458463,3
5-FU_ERLOTINIB_OVCAR3,5-FU,ERLOTINIB,OVCAR3,29.2012558541,3
5-FU_ERLOTINIB_PA1,5-FU,ERLOTINIB,PA1,11.2232059078,3
5-FU_ERLOTINIB_RKO,5-FU,ERLOTINIB,RKO,20.9875725757,3
5-FU_ERLOTINIB_RPMI7951,5-FU,ERLOTINIB,RPMI7951,17.0048417484,3
5-FU_ERLOTINIB_SKMEL30,5-FU,ERLOTINIB,SKMEL30,13.9548838605,3
5-FU_ERLOTINIB_SKMES1,5-FU,ERLOTINIB,SKMES1,21.2894247643,3
5-FU_ERLOTINIB_SKOV3,5-FU,ERLOTINIB,SKOV3,16.2106176273,3
5-FU_ERLOTINIB_SW620,5-FU,ERLOTINIB,SW620,0.4948904511,3
5-FU_ERLOTINIB_SW837,5-FU,ERLOTINIB,SW837,17.2993876184,3
5-FU_ERLOTINIB_T47D,5-FU,ERLOTINIB,T47D,-3.0497103681,3
5-FU_ERLOTINIB_UACC62,5-FU,ERLOTINIB,UACC62,17.9689860115,3
5-FU_ERLOTINIB_UWB1289BRCA1,5-FU,ERLOTINIB,UWB1289BRCA1,22.1912360376,3
5-FU_ERLOTINIB_UWB1289,5-FU,ERLOTINIB,UWB1289,16.4443510899,3
5-FU_ERLOTINIB_VCAP,5-FU,ERLOTINIB,VCAP,24.4137931368,3
5-FU_ERLOTINIB_ZR751,5-FU,ERLOTINIB,ZR751,22.830617603,3
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,A2058,7.3767092383,4
5-FU_GELDANAMYCIN_A2780,5-FU,GELDANAMYCIN,A2780,0.9119639421,4
5-FU_GELDANAMYCIN_A375,5-FU,GELDANAMYCIN,A375,7.160975098,4
5-FU_GELDANAMYCIN_A427,5-FU,GELDANAMYCIN,A427,3.5967980366,4
5-FU_GELDANAMYCIN_CAOV3,5-FU,GELDANAMYCIN,CAOV3,-12.9867067055,4
5-FU_GELDANAMYCIN_COLO320DM,5-FU,GELDANAMYCIN,COLO320DM,7.2318770454,4
5-FU_GELDANAMYCIN_DLD1,5-FU,GELDANAMYCIN,DLD1,2.4338958065,4
5-FU_GELDANAMYCIN_EFM192B,5-FU,GELDANAMYCIN,EFM192B,2.620901233,4
5-FU_GELDANAMYCIN_ES2,5-FU,GELDANAMYCIN,ES2,-5.2570249896,4
5-FU_GELDANAMYCIN_HCT116,5-FU,GELDANAMYCIN,HCT116,2.9166634421,4
5-FU_GELDANAMYCIN_HT144,5-FU,GELDANAMYCIN,HT144,5.3722158879,4
5-FU_GELDANAMYCIN_HT29,5-FU,GELDANAMYCIN,HT29,-3.9460712694,4
5-FU_GELDANAMYCIN_KPL1,5-FU,GELDANAMYCIN,KPL1,2.3305768406,4
5-FU_GELDANAMYCIN_LNCAP,5-FU,GELDANAMYCIN,LNCAP,16.3096388084,4
5-FU_GELDANAMYCIN_LOVO,5-FU,GELDANAMYCIN,LOVO,-6.3531366592,4
5-FU_GELDANAMYCIN_MDAMB436,5-FU,GELDANAMYCIN,MDAMB436,5.7991052293,4
5-FU_GELDANAMYCIN_MSTO,5-FU,GELDANAMYCIN,MSTO,1.4592157232,4
5-FU_GELDANAMYCIN_NCIH1650,5-FU,GELDANAMYCIN,NCIH1650,-6.7522693832,4
5-FU_GELDANAMYCIN_NCIH2122,5-FU,GELDANAMYCIN,NCIH2122,-2.6927348532,4
5-FU_GELDANAMYCIN_NCIH23,5-FU,GELDANAMYCIN,NCIH23,-9.33481084,4
5-FU_GELDANAMYCIN_NCIH460,5-FU,GELDANAMYCIN,NCIH460,-2.4468045136,4
5-FU_GELDANAMYCIN_NCIH520,5-FU,GELDANAMYCIN,NCIH520,3.5130376786,4
5-FU_GELDANAMYCIN_OCUBM,5-FU,GELDANAMYCIN,OCUBM,-0.9389248489,4
5-FU_GELDANAMYCIN_OV90,5-FU,GELDANAMYCIN,OV90,0.2845088978,4
5-FU_GELDANAMYCIN_OVCAR3,5-FU,GELDANAMYCIN,OVCAR3,-8.8404468247,4
5-FU_GELDANAMYCIN_PA1,5-FU,GELDANAMYCIN,PA1,-1.7946121876,4
5-FU_GELDANAMYCIN_RKO,5-FU,GELDANAMYCIN,RKO,5.2461803983,4
5-FU_GELDANAMYCIN_RPMI7951,5-FU,GELDANAMYCIN,RPMI7951,-8.0842471839,4
5-FU_GELDANAMYCIN_SKMEL30,5-FU,GELDANAMYCIN,SKMEL30,-80.6389686735,4
5-FU_GELDANAMYCIN_SKMES1,5-FU,GELDANAMYCIN,SKMES1,2.7036052766,4
